university,entity,role,count
ui_fess,harry potter,PERSON,2
ui_fess,de,PERSON,1
ui_fess,do,PERSON,1
ui_fess,muz,PERSON,1
ui_fess,pha,PERSON,1
ui_fess,youth hostel association,ORGANISATION,2
ui_fess,je,PERSON,1
ui_fess,har,PERSON,1
ui_fess,potter,PERSON,1
ui_fess,ir,PERSON,1
ui_fess,be,PERSON,1
ui_fess,,ORGANISATION,1
ui_fess,w,PERSON,1
UGM_FESS,fi,PERSON,1
UGM_FESS,general motors corporation,ORGANISATION,32
UGM_FESS,raf,PERSON,2
UGM_FESS,i ahmad,PERSON,1
UGM_FESS,fais,PERSON,1
UGM_FESS,,PERSON,2
UGM_FESS,fitri alfariz,PERSON,1
UGM_FESS,a,PERSON,6
UGM_FESS,tht general motors corporation,ORGANISATION,1
UGM_FESS,dhika fachrie,PERSON,1
UGM_FESS,imam wahyudi,PERSON,1
UGM_FESS,ay,PERSON,1
UGM_FESS,amelia christanti,PERSON,2
UGM_FESS,suryo purwono,PERSON,1
UGM_FESS,de,PERSON,1
UGM_FESS,ni pranowo,PERSON,1
UGM_FESS,santo,PERSON,1
UGM_FESS,rifqi anwar si,PERSON,1
UGM_FESS,ridwan ahmad sukri,PERSON,1
UGM_FESS,budisutris,PERSON,1
UGM_FESS,widy nugroho,PERSON,1
UGM_FESS,budisutrisna,PERSON,1
UGM_FESS,shafa zahra,PERSON,1
UGM_FESS,sam,PERSON,1
UGM_FESS,yasinan kaori,PERSON,1
UGM_FESS,sawiji bumiaji,PERSON,1
UGM_FESS,udin minal ai,PERSON,1
UGM_FESS,med,PERSON,1
UGM_FESS,faiz ridwan,PERSON,1
UGM_FESS,i,PERSON,1
UGM_FESS,nanto pogung,PERSON,1
UGM_FESS,harry potter,PERSON,3
UGM_FESS,raditya sachi,PERSON,1
UGM_FESS,american sportswear company,ORGANISATION,1
UGM_FESS,nasya juanita,PERSON,1
UGM_FESS,far,PERSON,1
UGM_FESS,id mustofa,PERSON,1
UGM_FESS,har,PERSON,2
UGM_FESS,dhe,PERSON,1
UGM_FESS,a nabila fathya,PERSON,1
UGM_FESS,fortunata alya,PERSON,1
UGM_FESS,war,PERSON,1
UGM_FESS,isha sekar lazuardini rachmanie,PERSON,2
UGM_FESS,yudha saspran22,PERSON,1
UGM_FESS,thomson osiris bloomberg,PERSON,1
UGM_FESS,gym general motors corporation,ORGANISATION,2
UGM_FESS,ya,PERSON,1
UGM_FESS,gabriel,PERSON,1
UGM_FESS,,ORGANISATION,1
UGM_FESS,kkn general motors corporation,ORGANISATION,1
UGM_FESS,rindiana,PERSON,1
UGM_FESS,siti murtiningsih,PERSON,1
UGM_FESS,par,PERSON,1
UGM_FESS,is,PERSON,1
UGM_FESS,na,PERSON,1
UGM_FESS,muha,PERSON,1
UGM_FESS,mad nurrifqi fuadi,PERSON,1
UGM_FESS,hai,PERSON,1
UGM_FESS,dar buldan thontowi,PERSON,1
UGM_FESS,kpopers,ORGANISATION,1
UGM_FESS,kutha ratna,PERSON,1
UGM_FESS,per,PERSON,1
UGM_FESS,cy jackson,PERSON,1
UGM_FESS,per,ORGANISATION,1
UGM_FESS,bank,ORGANISATION,1
UGM_FESS,arunika karangasem bali,ORGANISATION,1
UGM_FESS,fan,PERSON,1
UGM_FESS,ny hanifah,PERSON,1
draftanakunpad3,wojowasito,PERSON,1
draftanakunpad3,american sportswear,ORGANISATION,1
draftanakunpad3,vi,PERSON,1
draftanakunpad3,av,PERSON,1
draftanakunpad3,rachel rachelzafin,PERSON,1
draftanakunpad3,a,PERSON,2
draftanakunpad3,unpad runners,ORGANISATION,1
draftanakunpad3,standupindo jatinangor,ORGANISATION,1
draftanakunpad3,srina fauziah,PERSON,1
draftanakunpad3,yuyuyu,PERSON,1
draftanakunpad3,d,PERSON,1
draftanakunpad3,indoalfamart,ORGANISATION,1
draftanakunpad3,la,PERSON,1
draftanakunpad3,ni,PERSON,1
draftanakunpad3,el,PERSON,1
draftanakunpad3,ah,PERSON,1
draftanakunpad3,mad alid zawaya muhsin,PERSON,1
draftanakunpad3,harry potter,PERSON,2
draftanakunpad3,joh,PERSON,1
draftanakunpad3,nny tran,PERSON,1
draftanakunpad3,nicola gibran aljaya,PERSON,1
draftanakunpad3,r,PERSON,1
draftanakunpad3,hi,PERSON,1
draftanakunpad3,do anwar aripin,PERSON,1
draftanakunpad3,kristen batak scorpio,PERSON,1
draftanakunpad3,min,PERSON,1
draftanakunpad3,indosat,ORGANISATION,1
draftanakunpad3,luna nurfato,PERSON,1
draftanakunpad3,na,PERSON,1
draftanakunpad3,dar,PERSON,1
sunib_fess,ardian kusnadi,PERSON,1
sunib_fess,sun,PERSON,2
sunib_fess,erika carlina,PERSON,1
sunib_fess,b27 science,ORGANISATION,1
sunib_fess,b28,ORGANISATION,2
sunib_fess,sy,PERSON,2
sunib_fess,binusian,PERSON,1
sunib_fess,binusmaya,ORGANISATION,1
sunib_fess,middleman mart,ORGANISATION,1
sunib_fess,michelle very binter,PERSON,1
sunib_fess,nicfarandi,PERSON,1
sunib_fess,gez,PERSON,1
sunib_fess,genzee,ORGANISATION,1
sunib_fess,samuel christ,PERSON,1
sunib_fess,za,PERSON,1
sunib_fess,m,PERSON,1
sunib_fess,new,PERSON,1
sunib_fess,,ORGANISATION,1
sunib_fess,sso binus sutera,ORGANISATION,1
sunib_fess,pmi bethsaida hospital,ORGANISATION,1
sunib_fess,hooman binusiawn,PERSON,1
sunib_fess,bin,PERSON,1
sunib_fess,ishowspeed indonesia,ORGANISATION,1
sunib_fess,ray,PERSON,1
sunib_fess,,PERSON,1
sunib_fess,fiqih firdaus,PERSON,1
sunib_fess,raphael struick,PERSON,1
sunib_fess,aby,PERSON,1
sunib_fess,ju,PERSON,1
sunib_fess,icy luicy,PERSON,1
sunib_fess,raf,PERSON,1
ug_fess,perli iswanto,PERSON,1
ug_fess,si,PERSON,3
ug_fess,sy,PERSON,1
ug_fess,amsi ruhama,PERSON,1
ug_fess,sudarsono,PERSON,2
ug_fess,kara,PERSON,1
ug_fess,nicky handayani,PERSON,1
ug_fess,diana rohayati,PERSON,2
ug_fess,maria chrisnatalia,PERSON,1
ug_fess,gund,PERSON,7
ug_fess,joh,PERSON,2
ug_fess,puti anggraeni rosmasuri,PERSON,1
ug_fess,sri setya handayani,PERSON,1
ug_fess,n,PERSON,1
ug_fess,dwight george nayoan,PERSON,1
ug_fess,ega hegarini,PERSON,1
ug_fess,lucky hardinugraha,PERSON,1
ug_fess,nurichwan,PERSON,2
ug_fess,mu,PERSON,1
ug_fess,ccancil rustan tidak,PERSON,1
ug_fess,tri budiarta,PERSON,1
ug_fess,fernando,PERSON,1
ug_fess,dy,PERSON,1
ug_fess,an prawita sari,PERSON,1
ug_fess,di,PERSON,3
ug_fess,ana ikasari,PERSON,3
ug_fess,sri rahmawati,PERSON,1
ug_fess,dan,PERSON,1
ug_fess,mari,PERSON,1
ug_fess,a regita,PERSON,1
ug_fess,,PERSON,6
ug_fess,fitriati firdaus,PERSON,1
ug_fess,singgih jatmiko,PERSON,1
ug_fess,fan,PERSON,1
ug_fess,i yulia rosyada,PERSON,1
ug_fess,diyati himawati,PERSON,1
ug_fess,har,PERSON,2
ug_fess,janto sutedjo,PERSON,1
ug_fess,fitri sjafrina,PERSON,2
ug_fess,leli safitri,PERSON,2
ug_fess,sri nurhayati,PERSON,1
ug_fess,chrisnatalia,PERSON,1
ug_fess,hann,PERSON,1
ug_fess,a efrata anggraeni,PERSON,1
ug_fess,ja,PERSON,1
ug_fess,afif yulistian,PERSON,1
ug_fess,g,PERSON,1
ug_fess,anyongaseo,PERSON,1
ug_fess,rina refianti,PERSON,3
ug_fess,psychofams,ORGANISATION,1
ug_fess,jo,PERSON,1
ug_fess,achmad fahrurozi,PERSON,1
ug_fess,ben,PERSON,1
ug_fess,reinal rachmavial,PERSON,1
ug_fess,puti anggreani,PERSON,1
ug_fess,lilis ratnasari,PERSON,1
ug_fess,diny wahyuni,PERSON,1
ug_fess,anie yusnita,PERSON,1
ug_fess,nurul hidayah,PERSON,1
ug_fess,y,PERSON,1
ug_fess,ulia eka praptiningsih,PERSON,1
ug_fess,moranie fadila,PERSON,1
ug_fess,u,PERSON,1
ug_fess,ud,PERSON,1
ug_fess,gai,PERSON,1
ug_fess,ec,PERSON,1
ug_fess,meta damariyanti,PERSON,1
ug_fess,gita verasari,PERSON,1
ug_fess,sa,PERSON,1
ug_fess,rio hidayatuloh,PERSON,1
ug_fess,ne,PERSON,1
ug_fess,vid rathus greene,PERSON,1
ug_fess,la,PERSON,1
ug_fess,tipaturahmaniah,PERSON,1
ug_fess,brayynanggung,PERSON,1
ug_fess,reza chandra,PERSON,1
ug_fess,dwight george,PERSON,1
ug_fess,abdul mukhyi,PERSON,1
ug_fess,hannan attaki,PERSON,1
ug_fess,sedia,PERSON,1
telyufess,lembang,PERSON,1
telyufess,s,PERSON,1
telyufess,fik,PERSON,1
telyufess,ja,PERSON,1
telyufess,telkom,ORGANISATION,1
telyufess,professional golfers' association sukbir sukpur,ORGANISATION,1
telyufess,ha,PERSON,1
telyufess,bib vani,PERSON,1
telyufess,wa,PERSON,1
telyufess,she,PERSON,1
telyufess,rin flaurensia,PERSON,1
telyufess,beh,PERSON,1
telyufess,n meyer chemicals,PERSON,1
telyufess,himadigitalpr,ORGANISATION,1
telyufess,basi,PERSON,1
telyufess,mada,PERSON,1
telyufess,iri,PERSON,1
telyufess,rub,PERSON,1
telyufess,soek,PERSON,1
telyufess,har,PERSON,1
telyufess,potter,PERSON,1
telyufess,penny wdp flatulence,PERSON,1
telyufess,british broadcasting corporation,ORGANISATION,2
telyufess,hermina arca,PERSON,1
telyufess,grup maba telkom bandung,ORGANISATION,1
